fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2024-2025,Dec,16,KERALA,1604,KOZHIKODE,6197422,341.618560574713,48,190,5625.26778207201,13487,0,19470,6184371,741231,38722,102576,4082,975.21588,27727.442852872,126442,137893,199063,314888,2002,356796,528777,32957,21126.9591908,5649515,37,70.03,17.34,99.99,NA
2024-2025,Dec,16,KERALA,1605,MALAPPURAM,3330324,343.943517765215,53,213,3020.496033965,17505,0,18659,4040227,1388610,61072,183454,5628,906.00858,17822.603483465,75626,84798,147677,236014,5098,415593,598540,36164,13896.0988695,3467302,66,55.55,18.45,100,NA
2024-2025,Dec,16,KERALA,1609,IDUKKI,3417051,342.302283697541,41,91,2302.623556356,14149,0,11384,3500975,371750,28890,582340,24887,712.16982,14998.710753036,83806,107360,134566,243739,2836,213229,365500,25533,11983.91737668,2597796,30,59.96,19.81,100.06,NA
2024-2025,Dec,16,KERALA,1610,KOTTAYAM,2398131,336.931944428859,44,29,2120.801034501,9433,0,11080,2210068,315226,20273,76638,4622,592.7367,10159.962820101,49156,52792,89425,135316,2566,208811,291904,20513,7446.4250856,2054712,54,42.35,39.02,99.99,NA
2024-2025,Dec,16,KERALA,1613,KOLLAM,5588027,342.368771957661,48,269,2693.007733094,16389,0,19991,6189013,1255901,62061,102112,2438,919.97892,24802.234457494,127453,138990,208543,328280,4206,403039,587290,36380,21189.2478044,5368492,41,63.25,26.52,100,NA
2024-2025,Dec,16,KERALA,1611,ALAPPUZHA,6182922,344.469626215853,43,356,3971.235584548,17116,0,19075,5688497,883330,45004,36252,1148,656.88601,24223.265947748,131920,143043,179675,283675,1064,264643,394882,36191,19595.1443532,5254506,34,74.78,8.19,99.99,NA
2024-2025,Dec,16,KERALA,1613,KOLLAM,5588027,341.604672583294,48,269,2693.007733094,16304,0,19940,6141562,1246464,62054,101820,2438,919.97892,24592.849414694,127272,138782,208533,328256,4001,403006,587238,36244,20979.8627616,5326747,41,63.13,26.59,100,NA
2024-2025,Nov,16,KERALA,1602,KANNUR,3314071,344.004432319148,37,121,1649.59531159,5631,0,18473,2792784,116582,8728,251516,13662,786.52053,12043.41658669,74357,79667,129255,190421,417,263506,363618,24104,9607.3007451,2605304,49,53.81,29.18,100,NA
2024-2025,Nov,16,KERALA,1606,PALAKKAD,4393891,359.35575054559,27,180,1388.815796371,9267,0,37669,3508128,1075255,84478,471779,21028,970.24539,14965.720890871,128820,141356,209514,299458,569,408359,551580,46936,12606.6597045,3101487,64,35.12,36.11,100.01,NA
2024-2025,Nov,16,KERALA,1611,ALAPPUZHA,5850508,347.010044388201,32,345,1699.783697558,10988,0,22383,4050626,639720,44810,25765,1141,641.33682,16397.199598158,126410,136198,178877,282324,264,264206,394025,33371,14056.0790806,3738151,35,71.98,8.75,100,NA
2024-2025,Nov,16,KERALA,1613,KOLLAM,5287595,341.557247174577,37,261,864.350089974,8026,0,24727,4502069,917218,61684,78297,2409,906.38012,17147.873152274,120825,131142,206932,325615,809,401752,585183,32753,15377.1429423,3889573,42,56.86,30.78,100,NA
2024-2025,Nov,16,KERALA,1607,THRISSUR,2818070,340.42095413841,34,203,1537.708324064,9809,0,17653,2410950,761968,50656,47798,2478,911.85099,10656.938307864,70770,75048,155294,203027,764,350399,427509,27462,8207.3789938,2171674,50,59.59,12.07,99.98,NA
2024-2025,Nov,16,KERALA,1613,KOLLAM,5287595,343.011550054851,39,262,992.221801902,8706,0,24604,4821281,981944,61777,82438,2413,909.73611,18439.508602502,122314,132874,207268,326180,1106,402000,585573,33310,16537.5506906,4167046,42,58.3,29.87,99.99,NA
2024-2025,Nov,16,KERALA,1604,KOZHIKODE,5864228,340.709581433226,39,186,2757.29166745,8248,0,22578,4841832,576621,38605,80573,4066,967.91688,20221.79408835,122061,132523,198272,313575,500,356135,527749,30826,16496.5855409,4420309,38,66,19.91,99.99,NA
